,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460,"TRY8 gene (trypsinogen E) extracted from Human germline T-cell receptor beta chain TCRBV17S1A1T, TCRBV2S1, TCRBV10S1P, TCRBV29S1P, TCRBV19S1P, TCRBV15S1, TCRBV11S1A1T, HVB relic, TCRBV28S1P, TCRBV34S1, TCRBV14S1, TCRBV3S1, TCRBV4S1A1T, TRY4, TRY5, TRY6, TRY7, TRY8, TCRBD1, TCRBJ1S1, TCRBJ1S2, TCRBJ1S3, TCRBJ1S4, TCRBJ1S5, TCRBJ1S6, TCRBC1, TCRBD2, TCRBJ2S1, TCRBJ2S2, TCRBJ2S3, TCRBJ2S4, TCRBJ2S5, TCRBJ2S6, TCRBJ2S7, TCRBC2, TCRBV20S1A1N2 genes from bases 452324 to 684973 (section 3 of 3)",U66061_cds3_at,-0.779256507,-1.335163026,-1.089148922,-0.729233949,-0.634976083,-1.192833271,-0.708625492,-1.120432535,-0.518869107,-0.697237602,-1.118947946,-1.01377406,-0.978990299,-0.583700977,-1.077745865,-0.90005489,-0.679952927,-0.893189467,-0.84205482,-0.646174899,-0.557943022,-1.111595482,-1.187118125,-0.881104986,-1.217174178,-0.803667942,-1.062679911,-0.492235486,-0.406848904,-0.948664533,-1.210962218,0.871191948,-0.884554035,-0.705729248,-0.897920872,-0.26167391,-0.737024165,-0.418495982,-0.222166042,-0.356165072,-1.145432169,-0.722866988,-1.196632989,-1.072448275,-1.06247623,-1.064412044,-0.151961231,-0.728937056,-0.739413082,-0.896382561,-0.917405628,-0.750190634,-1.032349196,-0.235519546,-1.156389118,-0.839602462,-1.058009908,-1.224099054,-1.098814617,-0.852661001,-1.216220492,-1.31109581,-0.332104379,-0.742266971,-0.161945181,-1.018678067,-0.230652165,-1.362381334,-0.245611491,-1.041303633,-0.639871789,-0.943668537
3461,Steroidogenic factor 1 mRNA,U76388_at,0.369568376,0.801622728,0.304051703,0.324297901,0.530598399,-0.018303087,0.87569667,-1.335413943,0.27084145,0.480013893,0.470530042,-0.028667971,0.52085876,-0.06992267,-0.112402724,-0.041220523,1.108579807,-0.021819539,0.254704429,0.393382862,-1.045769178,0.074953741,0.113856712,-0.097171772,0.648253872,0.113119917,0.722516915,0.650612602,0.503863432,1.010933099,0.848267284,0.885317454,0.561188232,-0.143465119,0.024581325,0.655483427,0.168780048,0.639723338,0.165864696,0.700553791,-0.277967585,0.063080307,0.772045522,-0.028002168,0.013422227,0.700733715,-0.869017312,0.687582728,0.565547411,0.226939449,-0.171202529,-0.323276596,0.613081904,0.221513335,0.179089201,0.158264899,0.65134283,0.669679816,0.643637009,-0.49766533,0.972954672,-1.31109581,-0.509734478,0.676441332,-0.302419318,0.158363297,0.405177355,0.383105807,0.514738487,0.141290412,0.818407591,-0.164131635
3462,GB DEF = Immunoglobulin-like transcript-3 mRNA,U82979_at,-1.414095164,-1.335163026,-1.423498758,-0.653772356,-0.077007678,-1.192833271,-0.922202519,-0.716477988,-1.424392336,-1.185748659,-1.243743654,0.285060956,-1.318316435,-1.356060601,-0.704659984,0.085203251,-0.213051001,-1.179975696,-1.207606614,-0.237782128,-0.208968533,-1.111595482,-1.187118125,-0.447287683,0.064558804,-0.17621182,-0.58209752,-0.522504936,-0.587878703,-0.311896252,-1.228487646,-1.404189209,-1.301241017,-1.314257825,-1.214385383,0.093755294,-1.31181697,0.177516473,0.334780849,-1.254586207,0.398302094,-1.24638365,-0.502878991,0.040023441,-1.06247623,-1.120330201,-0.609688861,-0.577409771,-0.195276605,-1.197129854,-1.227021204,-0.196555082,-0.62794291,0.982913639,-1.156389118,-1.292206597,0.629477936,-0.011752511,-1.098814617,-0.859977007,-1.098353035,-1.31109581,-0.699594473,-0.911440058,-1.143157921,0.084680905,-0.46370196,-0.685994949,-0.329596999,-0.933331975,-1.21065485,0.109316084
3463,Death domain containing protein CRADD mRNA,U84388_at,-1.414095164,-0.666650125,-1.043159373,-0.983331483,0.495601642,-1.048558089,-0.989067353,-1.335413943,-0.885437922,-1.090722282,-0.858198123,-1.01377406,-1.266995145,-0.845077206,-0.389556771,-0.095533271,-0.858775993,-1.179975696,-0.109913208,-0.114814416,-0.208968533,-1.111595482,-1.187118125,-0.722788321,-1.113140039,0.294205432,-1.207123327,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.28042778,-1.361457962,-1.314257825,-1.214385383,-1.365587283,-1.222678284,-1.299149559,-1.225212914,0.44765428,0.046303503,-1.24638365,0.456084302,-0.810675207,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-0.881154242,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-0.238249008,0.42649255,-0.746021907,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.015490035,-1.31109581,-1.201145444,-0.977618619,-1.143157921,-0.556453445,-1.032249447,-0.750096788,-0.999681041,-1.041303633,-1.21065485,-1.130935188
3464,Clone 61501 defective mariner transposon Hsmar2 mRNA sequence,U92027_at,-0.236753843,-0.981054544,-0.01468301,-0.088840389,-0.960393701,-0.249974649,-0.68566903,-0.314888655,-0.325806251,-0.532110245,-0.407890694,-0.629563167,-0.46328709,-0.455914422,-0.788693272,-0.52628282,0.116381215,-0.489342735,-0.744023091,-0.769614536,-0.341320256,-1.005221603,-0.605330137,-0.66072746,-0.618348835,-0.717247243,0.255466817,-0.40112179,-0.731756135,-0.05080157,-0.369343266,-0.100291719,-0.787883076,-0.302900329,-0.911848811,-0.212637338,-1.207425272,-1.246898416,-0.26551973,-0.043342768,-0.728071621,-0.036561759,-0.70838989,-0.623968143,-1.06247623,-1.120330201,-1.270905826,-0.600341251,0.304121811,-0.672853395,-0.448668751,-0.457574633,-0.753691232,-0.889447878,-0.538668323,0.106108503,-0.582510601,-0.40428059,-1.098814617,-0.194540756,0.150669019,-0.317983709,-0.397774851,-0.963009617,-0.106448876,-1.018678067,-0.546137617,-0.797138771,-0.416910405,-1.041303633,-0.619449135,-0.418709532
3465,Alpha-tubulin mRNA,X01703_at,1.555575664,2.042426524,1.333488632,0.85054267,1.408576336,0.998889954,-0.951994971,1.510602304,2.112090374,2.547253777,2.284214289,1.848640508,1.42591798,0.632805813,1.181660622,1.589296294,1.521842255,1.172091018,0.144976954,1.826732112,2.94666995,1.26362775,1.393494193,1.196684978,1.383675808,1.577248321,0.999077729,1.470707536,1.374561733,1.694337187,1.2861793,1.890050411,1.835985217,0.906020423,0.585914371,0.905513759,0.153554227,0.149436707,1.519247603,0.955890722,1.441408414,1.338991049,0.642718833,1.739516852,1.445015823,0.465500267,1.494330092,1.090858065,1.222070567,0.429514359,0.323066538,2.339871757,1.006230449,1.308390094,-0.232920288,0.311236211,0.06518382,1.093566497,0.61798464,0.295354151,2.463121911,1.589667377,1.583152263,0.301436314,2.451505498,0.644356005,2.670161469,1.906790665,1.720722349,1.463430672,1.997395356,2.397338374
3466,RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN),X16546_at,-0.910427791,-0.349887241,-0.715884697,-0.983331483,0.370953986,-0.033791009,-1.216808164,-1.156559487,-1.424392336,-0.241734326,-0.560244989,-0.724630734,-1.226399651,-0.572019409,-0.934925225,-0.390282267,0.239416511,-0.97441076,-0.958665302,-1.001844889,-1.045769178,-0.802500597,-1.187118125,-0.444116635,-0.96231215,-0.535469563,-1.216362346,-0.654975782,1.48482792,0.619894983,0.812845072,-0.064468211,0.487358151,0.463292101,0.171586542,1.393603492,1.201813977,-0.866546334,-0.275084673,-0.653734038,-0.998076064,-0.08961189,0.607406013,-0.507753593,-0.503830995,-0.588790553,-1.169134146,-0.512046413,-0.119356866,0.925779597,1.509596964,1.428188891,0.860632835,0.525228574,0.42649255,0.186556719,1.696476416,0.840170456,0.57358326,1.130828967,-0.881977705,0.161191725,0.630521514,0.173112939,0.451063142,-1.018678067,-1.183311149,-0.37561453,-0.696344103,-0.581681682,-0.348993822,-0.688082438
3467,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, F ALPHA CHAIN PRECURSOR",X17093_at,2.30234449,0.859403343,0.413092834,0.963853116,1.074502544,0.726029982,1.340410394,2.285309774,0.470389079,0.811922644,-0.598427747,2.279752344,2.752089625,1.378419453,2.658819204,1.487946423,0.749549657,2.028611149,2.974005286,2.182598655,2.016694199,2.015446095,-0.071390935,0.929152431,2.149447809,2.437561384,1.439105836,1.411434431,0.308409257,1.056948204,0.22546321,0.924477082,0.524650193,1.108269729,1.067030702,1.534379605,0.973473621,-0.372667983,2.279404607,3.082850291,1.978318965,0.321758283,2.250223346,2.918174031,2.455198326,3.037579951,3.019356208,2.155297816,1.775479034,0.973343262,0.41402266,1.449736984,0.575586866,0.732912685,1.684869591,2.376905068,0.421308382,1.90980794,3.419848503,1.058810919,0.420703259,2.498472444,1.466506788,1.766266263,1.022936911,2.308514327,1.335694462,2.298818777,2.118925705,1.753363443,2.831715596,2.152790965
3468,ECRP gene for eosinophil cationic related protein,X55989_rna1_at,-0.48107916,-1.335163026,-1.309785928,-0.658044103,-0.871534985,-0.411605554,0.121715824,-0.529436354,-1.424392336,-1.185748659,-1.243743654,-0.267343664,-1.318316435,-1.356060601,-1.103998365,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-0.531736987,-0.613531067,-0.658646659,-0.789317719,-1.217174178,-1.24631406,-0.610669429,-1.385727619,-0.544486041,-1.272406126,0.024549752,-1.404189209,-0.406858089,-0.617866252,-1.214385383,0.181939099,-0.915720432,-1.299149559,-1.225212914,-0.580669112,-0.974313997,-1.24638365,-0.004293311,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-0.505687818,-0.225346477,0.356192339,-0.741839569,-0.249249693,-1.029242042,-1.292206597,0.558879472,-0.516307208,-1.098814617,-0.420473077,-1.216220492,-0.924194909,-0.681159591,-1.481627658,0.452695697,-1.018678067,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
3469,L2-9 transcript of unrearranged immunoglobulin V(H)5 pseudogene,X58399_at,-0.293284415,-1.335163026,-1.423498758,-1.135453612,-1.373415231,-1.192833271,-1.301317602,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-0.01537312,-1.356060601,0.436265657,0.150985324,-1.510219388,-1.179975696,-1.207606614,0.999966153,-1.045769178,-1.111595482,-1.187118125,-0.232800585,-1.217174178,-0.01417958,-1.216362346,-1.385727619,-1.063445157,-0.777897274,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,0.212575822,-0.650507855,0.142671437,0.058950413,-1.06247623,-1.120330201,-1.270905826,0.691328656,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-0.302419318,-1.018678067,-1.183311149,0.548841654,-0.626490863,-1.041303633,-1.21065485,-1.29024248
3470,ZNF37A Zinc finger protein 37a (KOX 21),X69115_at,0.047603304,-0.349887241,0.150081657,-0.653772356,-1.183865396,0.297086216,-0.009864333,0.254930884,0.078718712,-0.786689899,-0.065910693,-0.194674742,-0.350695765,0.013240431,-0.190685744,-0.018554962,0.00407869,-0.300534238,-0.190846836,-0.550927552,-0.341320256,-0.924947793,0.113856712,-0.183751433,0.041550434,-0.104750315,0.161435735,-0.168284861,-0.827302962,0.02807492,-0.171860065,0.08914396,0.139519454,-0.265276957,0.620705897,0.05717747,-0.542947788,-0.042674814,0.228797453,0.206173626,-0.392712373,0.004629261,-0.412772163,-0.618353902,-0.76343809,-0.222001787,-0.794443565,-0.314520641,0.291881884,-0.885139387,0.1022394,-0.25388982,-0.287036725,-0.429217964,0.028278616,0.34463869,-0.00185188,0.273304996,-0.27384924,-0.42978763,-0.597203811,-0.874367302,-0.146841694,0.343595788,-0.042866644,-0.107460106,-0.636765108,-1.087658825,-0.552004677,-0.414864483,-0.272517654,-0.094543369
3471,RPS26 Ribosomal protein S26,X69654_at,3.101272058,2.096252849,2.551302493,2.779129656,1.857334164,2.611488455,2.854646143,3.052345143,2.770607995,2.259166556,2.399272012,3.391658729,2.372990455,2.912730315,2.908574499,2.450272699,2.732155724,3.028610128,2.155486458,2.165481308,3.164989045,2.099769734,3.040288022,3.213110965,2.277900214,2.996661544,2.350218063,2.957666246,3.643011981,1.939536058,2.352269271,2.966448499,1.946606239,3.237545661,2.382576823,2.307444405,2.620815975,1.982599404,2.259036597,3.081451008,3.449058327,2.198011804,3.39920102,3.209626626,3.454599122,3.665371942,2.418541447,2.26978541,2.228011085,2.92989691,3.148809573,3.044103498,2.226705763,3.026774625,2.454022776,2.281674114,3.919068466,2.199007051,2.150221426,3.076064998,2.134821375,2.082244406,2.558462589,2.619008727,3.160452589,3.231012109,2.127710476,2.211977799,2.746640735,3.443803751,3.35614138,2.942992911
3472,GLUL Glutamate-ammonia ligase (glutamine synthase),X72475_at,0.093790423,0.099621725,0.05438692,0.065829847,-0.488009036,0.181101188,0.188989062,0.106766314,-0.132105748,0.044119014,-0.311714067,-0.174304529,-0.871928576,-0.302591959,-0.463101712,-1.126314889,0.005443437,-0.49866594,0.081304277,-0.42839633,-0.345520201,0.14394547,-0.221932017,-0.303436664,0.123946263,-0.253712684,0.389858828,-0.257861093,0.11145738,0.239585723,-0.085075382,0.138573522,0.121988751,0.434990921,0.312887071,-0.089707278,-0.025219339,0.317965825,-0.685133968,0.093040085,-0.906437331,0.239509023,0.312364771,-0.167541745,-0.127486944,-0.394712556,-0.212631405,-0.341182183,0.309506714,0.046057056,0.220216495,-0.916156767,-0.183713288,-0.096789573,0.191264756,0.282500099,-0.19645147,-0.051937316,0.15513103,-0.523126414,0.083247242,-0.512832532,0.056556534,0.154486377,0.10397007,-0.259938723,-0.021866101,-0.640894349,-0.271150142,-0.15696109,-0.157391384,-0.315175167
3473,GB DEF = Anion exchange protein,X87211_at,-1.263587016,-1.335163026,-1.182556155,-1.3627031,-0.707244801,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.107278431,-1.243743654,-0.948586631,-1.003288842,-1.356060601,-1.339686102,-0.708571444,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-0.766177505,-1.111595482,-1.187118125,-1.354986093,-0.387114638,-0.362561441,-1.216362346,-1.385727619,-0.393244519,-1.272406126,-1.228487646,-1.360984741,-1.434727011,-0.429579479,-1.214385383,-1.028977316,0.234124675,0.114908104,-1.074552508,-0.495509141,-1.145432169,-0.161998777,-0.338072722,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-0.780501986,-0.870597765,-1.280712643,-1.227021204,-0.916156767,-0.859244869,-0.824595626,-1.156389118,-0.421617019,-0.773271023,-0.454600749,-1.098814617,-0.67374602,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-0.937513996,-1.018678067,-1.183311149,-1.362381334,-0.89285948,-1.041303633,-1.21065485,-0.628384798
3474,GB DEF = RagB protein,X90530_at,-0.497523287,-0.490658344,-0.604330361,-0.041621839,-0.385983509,-0.870604761,0.17128647,-0.137030389,-0.34416073,-0.026997408,-0.156282658,-0.166275523,0.516482273,-0.845077206,-0.597649021,0.11285207,0.371651981,-0.083493901,-0.029843203,0.126618678,-0.714204133,-0.775870966,-0.605330137,-0.336650763,0.066828239,-0.405579087,0.23429771,-0.198747791,0.000597309,-0.240258834,-0.140249376,-0.015154797,-0.020042129,0.167850103,0.30895655,0.026708643,-0.286871896,-0.196501064,-0.26551973,-0.084199348,-0.652947417,0.044015705,-1.196632989,-0.763591776,0.069943978,0.116890754,-0.249562421,0.261840509,0.223507904,-0.223129884,0.227821345,-0.214068242,-0.383128509,0.201529877,0.050912389,-0.115179777,-0.336419126,0.190380827,0.380380759,-0.615154995,0.087480462,-0.717005921,-0.24872868,0.254745112,0.328936948,-1.018678067,-0.0853825,0.212921873,-0.126017066,-0.575818708,-0.106161327,-0.315175167
3475,Ubiquitin hydrolase,X98296_at,-0.322924639,-0.039237424,-1.089148922,-0.114575632,-0.244837442,-0.419493399,-0.68566903,-0.275284261,-0.628548779,-1.185748659,0.026972885,0.312202897,0.285839302,-0.186443982,-0.091267798,-1.035771902,-0.455891223,-0.612980146,-1.050560144,-0.347384741,0.351683373,-0.115466652,-0.250099892,-0.253172972,-0.361460667,-0.247513055,-1.216362346,-0.291587067,0.152338884,0.166288289,-0.396576344,-0.826544854,-0.486623636,-0.507644027,-1.214385383,-0.496121563,0.144286729,-0.193882889,-1.225212914,0.336342449,0.064579075,0.435319079,0.285474025,-0.459430559,-0.904510601,-0.312714478,-0.708593617,0.507099652,-1.006660812,0.105787747,-0.244126346,-0.990861792,0.310107054,-1.3272715,-0.924452134,-1.292206597,-1.058009908,-1.224099054,-0.481171881,-1.110465113,-1.216220492,-0.495140126,-1.048649685,-0.521347236,-0.306127882,-0.122015118,0.047048125,0.391876622,-0.110190395,-0.268705943,-0.09450055,-1.29024248
3476,NGAL gene,X99133_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-0.812531995,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-0.906155737,-1.225212914,-1.254586207,-1.145432169,-1.24638365,1.881113196,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,0.127920554,-0.990861792,-1.443618533,-0.559607664,-0.909289653,0.819195443,-1.058009908,-0.245543629,-0.117310363,0.34235279,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-0.351835273,-1.018678067,-0.266705251,0.063309025,-1.422468728,-1.041303633,-0.326504403,-1.29024248
3477,GB DEF = Chloride channel (putative) 2139bp,Z30643_at,1.117852817,1.004481192,0.942732158,1.056125975,0.52830644,1.280226061,1.266772393,0.70637098,1.287466033,1.177394466,1.668891353,1.647254656,0.265657195,0.946514477,0.541475566,0.93605001,0.208978355,0.98835524,0.53273414,-0.011806559,0.138951744,1.032634245,1.390937949,0.837317917,1.075338862,0.857182222,0.94000663,1.520020547,0.669510857,0.868859601,1.367520038,1.635517888,1.180847491,1.406841684,1.227364995,1.470932035,1.055310141,0.867258901,1.477688723,0.772223097,1.26334773,-0.159310643,0.44792196,1.181340265,1.256901594,1.514259907,0.635065109,0.529012688,1.149425969,1.387944434,1.330568646,1.064645745,0.717535275,1.153111697,1.40449673,1.234183185,0.869082902,1.536088994,0.80685361,1.14801555,1.089713959,0.833469986,1.319486349,0.912405827,1.392201011,1.158752519,0.791110305,0.351677619,0.779023884,1.943902927,1.177187674,0.619826246
3478,GB DEF = Chloride channel (putative) 2163bp,Z30644_at,0.788446557,0.955795728,0.818367366,1.026384302,0.537440052,-1.192833271,1.084587568,1.230184446,0.879211207,0.837940502,0.050332311,1.195998988,1.024134352,0.834279654,0.589677853,0.929566576,0.002711711,0.830778934,1.363791426,0.828915591,0.640715576,0.995591018,1.442019097,-0.099349299,0.786490575,0.747023678,1.403326798,1.007199977,1.116216622,1.172852889,1.013847185,1.550003025,1.517961738,1.174663048,1.475003895,1.048577412,1.386537593,1.540920847,1.008178703,1.48800647,0.288888388,1.085874508,1.410327989,0.849991109,0.722572066,1.341141045,1.288665776,0.961998236,1.422771148,1.236297957,1.278274866,1.3128143,1.293555052,0.833114526,0.982199224,1.11168177,1.220850554,0.068217994,1.47918689,0.8170428,1.195512552,1.374991066,1.465301922,1.563420717,1.048068443,0.916111818,1.001874797,0.658530756,0.517616579,0.955200502,0.824997229,0.412621748
3479,HD21 mRNA,Z49105_at,0.1194072,-0.783848779,-0.053182654,0.229758795,-0.127254733,0.378706648,-0.110969052,0.039135621,0.144742305,-0.037257382,0.233507039,-0.322153238,-0.648224307,-0.449125567,-0.246237229,0.158429037,-0.122503655,0.23804601,0.371190509,-0.630364902,-1.045769178,-0.489575646,0.211205478,-1.434645277,0.356068206,0.059447207,0.202618262,0.429591692,0.020979425,-0.742374259,-0.238684641,-0.19223717,0.428636466,0.513782246,-0.007724606,-1.325082551,-0.21534316,-1.299149559,0.399657073,0.023568874,-0.047907532,0.288125189,0.039728208,-0.65839439,-0.474846871,0.081892375,-0.429417254,-0.545668795,-0.204948442,0.059475216,0.32987013,-0.763425577,0.198302061,-1.117527126,0.154269971,0.11768633,-0.918463631,0.397831519,0.059804605,-0.084123657,-0.939620322,-0.812024592,0.160015111,-0.106889703,0.489467734,0.110840835,-0.224247368,-0.666912402,-0.647954255,0.265061623,0.069946327,-0.16681335
3480,H2B/j gene,Z80781_at,-1.414095164,-1.335163026,-1.406313055,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-0.691928182,-1.234858842,-1.01377406,-1.150424448,-1.356060601,-1.339686102,-1.357386275,-1.271836213,-1.179975696,-1.207606614,-1.436193301,-0.579465599,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.062679911,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-0.757959265,-1.214385383,-1.365587283,-1.31181697,-1.299149559,0.512958401,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-0.676104116,-0.513701659,-0.91389709,-1.270905826,-1.133855716,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.411794837,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.273367009,-1.422468728,-0.76246846,-1.21065485,-0.894814026
3481,GB DEF = H2B/l gene,Z80783_at,-0.739425229,-0.355558293,0.103552611,0.51755723,-1.161800786,0.480827565,0.036807278,0.538285959,0.152481382,0.055838135,-0.219209373,-0.032139957,-0.507762409,-0.032737542,-0.61650137,-0.713263393,0.228001088,-0.0390384,-0.463810658,-0.670488822,-0.316519997,0.01755227,-0.221932017,-0.195771884,-0.308789285,-0.470194636,0.436414645,-0.508925482,-0.275058581,-0.045177602,0.330272227,0.075927058,0.19755472,-0.176259809,0.274881685,-0.418321847,0.192590536,0.27251399,-0.640961969,0.350548864,-1.145432169,-0.693221005,0.165079926,-0.348703034,-0.226774708,0.281668881,-0.242742827,-0.215391879,0.24111435,0.254781645,-0.182962199,0.028209723,0.194272732,-0.889447878,-1.156389118,-0.382414985,0.038907122,-0.099350287,0.457421594,-0.278611638,-0.402824266,0.028429314,0.306148399,0.464770089,0.000766443,-0.186500883,-0.325385413,-0.52152465,-0.68493772,-1.041303633,-0.308163807,-0.912830441
3482,H4/j gene,Z80787_at,-0.765784624,0.018239825,-0.755160613,-0.373098982,-1.214137145,-0.673350434,-0.72741199,-0.847625676,-0.635083317,-0.484516543,-1.126746391,0.00202941,-1.135985333,-1.356060601,-1.339686102,-0.577748404,0.013585456,-1.080247081,-1.207606614,-0.651514779,0.42491627,-0.731013141,-0.098438595,-1.434645277,-0.249330569,-0.552540599,0.140138614,-0.466161594,-1.063445157,-0.542606137,-0.135088982,-0.625265696,-0.541309047,0.055837712,-0.353234968,-0.522760714,-0.622968865,-0.087973548,1.408288475,-0.147485094,-0.047907532,0.404309798,-1.196632989,0.766001173,1.716815319,1.554691545,-0.942778769,-0.10369681,-0.641474491,-0.359188816,-1.156203067,0.064880468,-0.50295445,-0.595358056,-0.850903383,-0.27689712,-0.570183816,0.017273513,-0.77450922,-1.110465113,0.667749921,-1.052720765,-0.933695704,-0.354728857,-0.455027614,-1.018678067,-0.336144043,-0.682144133,-1.179158369,1.101562144,-0.505399892,-0.726852456
3483,GB DEF = HH2B/d gene,Z83336_at,1.061670966,0.850869018,0.904412839,1.068021387,0.102075128,1.019804108,0.936039792,1.064846676,0.666331882,0.645298089,0.534923628,0.886864917,0.80953898,0.382109545,0.449850831,0.893927209,1.031928293,0.759421781,1.168182438,0.630577696,0.952137376,0.646780026,0.820473042,0.975956607,1.002238477,1.229213374,1.655399807,0.858327571,0.537466709,0.924967577,1.018750273,0.89790637,0.986508398,1.280145763,1.261584171,1.079270745,0.432791692,0.594216061,1.901766137,1.504403751,0.679562986,0.555734146,0.680603546,1.417614176,1.580230217,1.432606113,1.070172896,0.792797981,1.476339177,1.36291716,1.021980632,0.95706217,0.861261226,0.738520604,1.095302615,1.343009461,0.914410715,1.470395523,1.005419481,0.546179084,1.070096662,1.085495236,1.210378488,0.980324797,1.208509082,-0.037865712,0.29647746,0.779577966,0.393310587,1.310936333,0.864647868,0.956765408
3484,mRNA fragment encoding beta-tubulin. (from clone D-beta-1),J00314_at,0.789253063,-0.712516171,0.817055423,0.580989698,0.602125929,1.185826904,0.138537729,-1.335413943,1.23466851,1.031008208,0.665052717,0.193231964,1.332468776,0.292083444,0.664826071,-0.04351756,1.237331376,0.8851417,0.156313271,0.315252629,-1.045769178,-1.111595482,0.113856712,0.575607434,-0.567207282,-1.24631406,-0.45928489,0.78187657,0.771072747,0.135345441,0.572237413,-0.859432515,-1.434727011,-1.314257825,-0.818343491,0.6699092,-0.745784713,-1.246898416,-0.398465684,-1.254586207,0.830549989,0.683194918,0.444637098,1.177392192,0.013422227,0.501581842,0.078564636,0.811870114,-0.286478816,-1.254790888,-1.227021204,-0.990861792,-1.443618533,0.383953726,0.690823354,-0.352149012,0.526733214,-1.224099054,0.59160041,0.063514635,-1.207269597,-1.31109581,-1.420360839,-1.481627658,-1.143157921,0.259130295,-0.011696861,0.516476361,-0.14417054,-0.821116522,-1.21065485,0.416891242
3485,H2K binding factor 2 (KBF2) mRNA,L08904_at,-0.614219373,0.226734361,-0.821951225,0.330170711,-0.711678888,-0.447646576,-0.69478303,-0.350281032,0.068848258,-1.185748659,0.035538095,-0.717520184,-0.197483556,-0.607522245,-0.475985042,-0.573687478,0.500256229,-0.413566197,-1.117172647,-0.022757282,0.740352427,-0.524069926,-1.078989246,-0.67687389,-0.35426074,-0.748708898,-0.224567503,-0.57897885,-0.17024646,0.017752501,0.080726398,0.240974805,-0.155946927,-0.299949992,-1.039172368,-0.208507069,-0.482630078,-0.001662226,-0.752978079,-0.208913645,-0.578250508,-0.758736475,0.165079926,-0.11755159,-1.06247623,-0.350683878,-0.13965573,-0.049300387,0.170010364,0.046057056,-0.200888382,0.318740644,-0.060155537,-0.872795202,-1.156389118,-0.718527147,-1.058009908,0.209894958,-1.044924553,-0.782428311,-1.216220492,-0.347122379,0.00880625,-0.354728857,-1.143157921,-1.018678067,-1.096323463,-0.557272729,-0.677415115,-1.041303633,-1.164572005,-0.641819829
